17037Ref,308399.619,5808750.797,10.283,-37.84857619,144.8222982,CENTRE_RECTANGULAR_MANHOLE_COVER,,,,,,
17037,NA,50,1,L1,308144.893,5808774.425,10.358,3.354,-254.726,23.628,-37.84830982,144.8194112
17037,NA,50,2,L1,308323.885,5808753.27,10.268,3.513,-75.734,2.473,-37.848538,144.8214386
17037,NA,50,3,L1,308336.798,5808751.531,10.333,3.454,-62.821,0.734,-37.84855637,144.8215848
17037,NA,50,4,L1,308352.234,5808749.115,10.392,3.454,-47.385,-1.682,-37.84858138,144.8217595
17037,NA,50,5,L1,308379.531,5808743.692,10.454,3.934,-20.088,-7.105,-37.84863596,144.8220681
17037,NA,50,6,L1,308387.811,5808742.341,10.479,3.829,-11.808,-8.456,-37.84864987,144.8221618
17037,NA,50,7,L1,308390.9,5808742.14,10.48,3.812,-8.719,-8.657,-37.84865233,144.8221968
17037,NA,50,8,L1,308395.527,5808742.241,10.449,3.861,-4.092,-8.556,-37.84865239,144.8222494
17037,NA,50,9,L1,308398.986,5808742.739,10.412,3.98,-0.633,-8.058,-37.84864863,144.8222888
17037,NA,50,10,L1,308403.074,5808743.718,10.373,3.695,3.455,-7.079,-37.84864067,144.8223355
17037,NA,50,11,L1,308407.488,5808745.635,10.361,3.755,7.869,-5.162,-37.84862433,144.8223862
17037,NA,50,12,L1,308411.987,5808748.691,10.343,4.88,12.368,-2.106,-37.84859776,144.8224381
17037,NA,50,13,L1,308419.145,5808752.315,10.352,4.481,19.526,1.518,-37.84856662,144.8225204
17037,NA,50,14,L1,308423.535,5808753.272,10.386,4.593,23.916,2.475,-37.84855892,144.8225705
17037,NA,50,15,L1,308427.689,5808753.27,10.424,4.338,28.07,2.473,-37.84855981,144.8226177
17037,NA,50,16,L1,308430.858,5808752.753,10.431,4.309,31.239,1.956,-37.84856514,144.8226535
17037,NA,50,17,L1,308433.815,5808751.895,10.436,4.388,34.196,1.098,-37.84857348,144.8226869
17037,NA,50,18,L1,308450.508,5808744.727,10.444,4.434,50.889,-6.07,-37.84864155,144.8228746
17037,NA,50,19,L1,308463.174,5808740.312,10.488,4.136,63.555,-10.485,-37.84868398,144.8230173
17037,NA,50,20,L1,308468.392,5808738.734,10.539,3.659,68.773,-12.063,-37.84869929,144.8230761
17037,NA,50,21,L1,308479.288,5808736.694,10.616,3.651,79.669,-14.103,-37.84871995,144.8231993
17037,NA,50,22,L1,308713.012,5808705.751,10.744,3.486,313.393,-45.046,-37.84904771,144.8258459
17037,NA,50,23,L1,308755.863,5808700.405,12.167,3.476,356.244,-50.392,-37.84910484,144.8263312
17037,NA,50,24,L1,308818.983,5808693.09,15.764,3.469,419.364,-57.707,-37.84918397,144.8270462
17037,NA,51,1,L2,308144.52,5808771.085,10.41,3.365,-255.099,20.288,-37.84833982,144.8194061
17037,NA,51,2,L2,308328.205,5808749.364,10.42,3.09,-71.414,-1.433,-37.84857409,144.8214867
