2512Ref,308984.841,5811690.04,22,-37.8222262,144.8297214,CENTRE_ROUND_MANHOLE_COVER,,,,,,
2512,Enter,1,1,L1,309015.029,5811689.729,22.389,3.567,30.188,-0.311,-37.82223531,144.8300641
2512,Enter,1,2,L1,309080.759,5811714.089,23.13,3.713,95.918,24.049,-37.82202966,144.8308168
2512,Enter,2,1,L2,309015.377,5811693.642,22.506,3.553,30.536,3.602,-37.82220014,144.830069
2512,Enter,2,2,L2,309079.372,5811717.416,23.227,3.492,94.531,27.376,-37.82199941,144.8308019
2512,Enter,3,1,L3,309015.705,5811697.379,22.633,3.221,30.864,7.339,-37.82216655,144.8300738
2512,Enter,3,2,L3,309078.011,5811720.679,23.25,3.575,93.17,30.639,-37.82196974,144.8307873
2512,Enter,4,1,UT,309016.05,5811701.326,22.691,3.919,31.209,11.286,-37.82213108,144.8300787
2512,Enter,4,2,UT,309039.167,5811709.892,23.004,3.567,54.326,19.852,-37.82205876,144.8303435
2512,Enter,4,3,UT,309052.547,5811713.535,23.119,0.923,67.706,23.495,-37.82202875,144.8304963
2512,Enter,4,4,UT,309061.88,5811716.607,23.158,0.001,77.039,26.567,-37.82200304,144.8306031
2512,Enter,5,1,L1,308974.561,5811706.953,21.561,3.403,-10.28,16.913,-37.82207171,144.8296091
2512,Enter,5,2,L1,308926.812,5811688.968,20.25,3.45,-58.029,-1.072,-37.8222237,144.8290622
2512,Enter,5,3,L1,308913.894,5811683.567,19.928,2.657,-70.947,-6.473,-37.82226964,144.8289141
2512,Enter,5,4,L1,308901.744,5811677.829,19.623,0.637,-83.097,-12.211,-37.82231878,144.8287746
2512,Enter,5,5,L1,308889.74,5811672.838,19.338,0.006,-95.101,-17.202,-37.82236122,144.828637
2512,Enter,6,1,L2,308975.808,5811703.589,21.668,3.773,-9.033,13.549,-37.82210227,144.8296224
2512,Enter,6,2,L2,308932.437,5811687.177,20.464,3.95,-52.404,-2.863,-37.82224101,144.8291256
2512,Enter,6,3,L2,308805.707,5811638.38,18.659,3.493,-179.134,-51.66,-37.82265397,144.8276738
