2513Ref,308497.341,5811515.053,24.487,-37.82370008,144.8241399,CENTRE_SQUARE_MANHOLE_COVER,,,,,,
2513,Enter,1,1,L1,308470.922,5811475.087,24.495,3.892,-26.419,-39.966,-37.82405449,144.8238293
2513,Enter,1,2,L1,308441.852,5811452.459,24.579,4.665,-55.489,-62.594,-37.82425219,144.8234933
2513,Enter,1,3,L1,308426.863,5811441.438,24.639,4.182,-70.478,-73.615,-37.82434831,144.8233201
2513,Enter,1,4,L1,308413.203,5811431.882,24.664,3.383,-84.138,-83.171,-37.82443151,144.8231625
2513,Enter,1,5,L1,308402.413,5811424.819,24.682,3.1,-94.928,-90.234,-37.82449286,144.8230381
2513,Enter,1,6,L1,308386.155,5811414.915,24.749,3.163,-111.186,-100.138,-37.82457865,144.8228509
2513,Enter,1,7,L1,308373.257,5811407.58,24.808,3.114,-124.084,-107.473,-37.824642,144.8227025
2513,Enter,1,8,L1,308362.747,5811402.062,24.855,3.199,-134.594,-112.991,-37.82468949,144.8225817
2513,Enter,1,9,L1,308352.623,5811397.201,24.89,3.205,-144.718,-117.852,-37.82473115,144.8224655
2513,Enter,1,10,L1,308340.806,5811392.091,24.929,3.228,-156.535,-122.962,-37.82477469,144.8223299
2513,Enter,1,11,L1,308330.2,5811387.83,24.972,3.173,-167.141,-127.223,-37.82481084,144.8222084
2513,Enter,1,12,L1,308300.425,5811376.592,25.082,3.183,-196.916,-138.461,-37.8249058,144.8218673
2513,Enter,1,13,L1,308275.554,5811367.6,25.276,3.217,-221.787,-147.453,-37.82498156,144.8215825
2513,Enter,1,14,L1,308208.197,5811344.593,25.791,3.176,-289.144,-170.46,-37.82517463,144.8208116
2513,Enter,2,1,L2,308473.252,5811472.146,24.457,3.615,-24.089,-42.907,-37.82408147,144.823855
2513,Enter,2,2,L2,308454.36,5811457.01,24.625,3.65,-42.981,-58.043,-37.82421383,144.8236365
2513,Enter,2,3,L2,308439.276,5811445.369,24.719,3.693,-58.065,-69.684,-37.82431551,144.8234621
2513,Enter,2,4,L2,308429.12,5811438.151,24.745,3.796,-68.221,-76.902,-37.82437839,144.8233449
2513,Enter,2,5,L2,308417.799,5811430.547,24.781,3.886,-79.542,-84.506,-37.8244445,144.8232143
2513,Enter,2,6,L2,308406.182,5811423.026,24.827,3.954,-91.159,-92.027,-37.8245098,144.8230805
2513,Enter,2,7,L2,308391.96,5811414.382,24.881,3.722,-105.381,-100.671,-37.82458467,144.8229167
2513,Enter,2,8,L2,308375,5811404.854,24.947,3.345,-122.341,-110.199,-37.82466692,144.8227216
2513,Enter,2,9,L2,308364.088,5811399.193,24.978,3.132,-133.253,-115.86,-37.82471561,144.8225962
2513,Enter,2,10,L2,308353.214,5811393.98,25.018,3.152,-144.127,-121.073,-37.82476028,144.8224713
2513,Enter,2,11,L2,308343.636,5811389.799,25.05,3.136,-153.705,-125.254,-37.82479593,144.8223615
2513,Enter,2,12,L2,308330.243,5811384.438,25.083,3.195,-167.098,-130.615,-37.8248414,144.822208
2513,Enter,2,13,L2,308301.997,5811373.717,25.163,3.305,-195.344,-141.336,-37.82493203,144.8218844
2513,Enter,2,14,L2,308274.112,5811363.679,25.308,3.242,-223.229,-151.374,-37.82501658,144.8215651
2513,Enter,2,15,L2,308208.509,5811341.304,25.628,3.247,-288.832,-173.749,-37.82520431,144.8208143
2513,Enter,3,1,RT1,308492.052,5811474.836,24.264,4.472,-5.289,-40.217,-37.82406119,144.8240692
2513,Enter,3,2,RT1,308495.883,5811476.396,24.19,4.33,-1.458,-38.657,-37.82404794,144.8241131
2513,Enter,3,3,RT1,308495.707,5811476.363,24.195,4.483,-1.634,-38.69,-37.8240482,144.8241111
2513,Enter,3,4,RT1,308498.413,5811477.835,24.158,3.535,1.072,-37.218,-37.82403551,144.8241422
2513,Enter,3,5,RT1,308526.89,5811498.284,23.867,3.107,29.549,-16.769,-37.82385731,144.824471
2513,Enter,3,6,RT1,308537.351,5811505.397,23.737,3.062,40.01,-9.656,-37.82379544,144.8245916
2513,Enter,3,7,RT1,308553.54,5811515.835,23.576,3.106,56.199,0.782,-37.82370483,144.8247782
