3899Ref,305588.41,5809085.912,19.371,-37.84496292,144.7904582,CENTRE_ROUND_MANHOLE_COVER,,,,,,
3899,Enter,1,1,LT1,305630.975,5809068.183,18.761,4.319,42.565,-17.729,-37.84513167,144.7909368
3899,Enter,1,2,LT1,305635.203,5809068.109,18.772,3.644,46.793,-17.803,-37.84513324,144.7909848
3899,Enter,1,3,LT1,305664.44,5809065.086,18.736,3.45,76.03,-20.826,-37.84516669,144.7913161
3899,Enter,1,4,LT1,305702.795,5809062.736,18.672,0.564,114.385,-23.176,-37.84519603,144.7917511
3899,Enter,1,5,LT1,305716.899,5809061.337,18.691,0,128.489,-24.575,-37.84521164,144.7919109
3899,Enter,2,1,L1,305631.52,5809073.515,18.949,3.475,43.11,-12.397,-37.84508376,144.7909445
3899,Enter,2,2,L1,305891.903,5809046.423,18.53,3.513,303.493,-39.489,-37.84538323,144.7938945
3899,Enter,3,1,L2,305631.879,5809077.024,19.036,3.576,43.469,-8.888,-37.84505224,144.7909495
3899,Enter,3,2,L2,305892.311,5809049.892,18.64,3.472,303.901,-36.02,-37.84535207,144.7939001
3899,Enter,4,1,L1,305587.816,5809096.318,18.99,3.55,-0.594,10.406,-37.84486907,144.7904542
3899,Enter,4,2,L1,305526.392,5809102.535,19.362,3.618,-62.018,16.623,-37.84479998,144.7897583
3899,Enter,5,1,L2,305587.486,5809092.826,19.079,3.461,-0.924,6.914,-37.84490045,144.7904495
3899,Enter,5,2,L2,305526.172,5809099.057,19.455,3.349,-62.238,13.145,-37.84483126,144.7897548
3899,Enter,6,1,RT1,305587.16,5809089.377,19.165,3.469,-1.25,3.465,-37.84493145,144.7904449
3899,Enter,6,2,RT1,305525.954,5809095.645,19.566,3.486,-62.456,9.733,-37.84486194,144.7897514
3899,Enter,7,1,LT1,305599.334,5809061.29,18.5,5.435,10.924,-24.622,-37.84518701,144.7905756
3899,Enter,7,2,LT1,305599.835,5809055.796,18.37,3.373,11.425,-30.116,-37.84523659,144.7905798
3899,Enter,7,3,LT1,305599.533,5809052.43,18.312,3.31,11.123,-33.482,-37.84526684,144.7905755
3899,Enter,8,1,RT1,305603.84,5809060.813,18.537,3.605,15.43,-25.099,-37.84519226,144.7906267
3899,Enter,8,2,RT1,305602.922,5809052.1,18.424,3.501,14.512,-33.812,-37.84527054,144.7906139
3899,Crosswalk,9,1,CROSSWALK,305593.943,5809065.72,18.608,2.563,5.533,-20.192,-37.84514596,144.7905156
3899,Crosswalk,9,2,CROSSWALK,305622.855,5809062.619,18.542,2.555,34.445,-23.293,-37.84518005,144.7908431
3899,Crosswalk,10,1,CROSSWALK,305592.573,5809099.021,18.906,2.58,4.163,13.109,-37.84484574,144.790509
3899,Crosswalk,10,2,CROSSWALK,305589.98,5809069.907,18.751,2.414,1.57,-16.005,-37.8451074,144.7904717
3899,NA,50,1,STOP_LINE,305587.988,5809098.086,18.952,0,-0.422,12.174,-37.84485319,144.7904567
3899,NA,50,2,STOP_LINE,305587.988,5809098.086,18.939,0,-0.422,12.174,-37.84485319,144.7904567
3899,NA,50,3,STOP_LINE,305587.798,5809096.211,18.994,0,-0.612,10.299,-37.84487003,144.790454
3899,NA,50,4,STOP_LINE,305587.673,5809094.856,19.034,0,-0.737,8.944,-37.84488221,144.7904522
3899,NA,50,5,STOP_LINE,305587.258,5809090.35,19.133,0,-1.152,4.438,-37.8449227,144.7904463
3899,NA,50,6,STOP_LINE,305586.993,5809087.65,19.213,0,-1.417,1.738,-37.84494696,144.7904425
3899,NA,51,1,STOP_LINE,305590.642,5809099.257,18.901,0,2.232,13.345,-37.84484321,144.7904871
3899,NA,51,2,STOP_LINE,305590.498,5809097.79,18.936,0,2.088,11.878,-37.84485639,144.7904851
3899,NA,52,1,STOP_LINE,305630.754,5809066.014,18.698,0,42.344,-19.898,-37.84515116,144.7909337
3899,NA,52,2,STOP_LINE,305632.061,5809078.804,19.07,0,43.651,-7.108,-37.84503624,144.790952
3899,NA,53,1,STOP_LINE,305628.908,5809070.596,18.846,0,40.498,-15.316,-37.8451095,144.790914
3899,NA,53,2,STOP_LINE,305629.065,5809071.967,18.898,0,40.655,-13.945,-37.84509718,144.7909162
3899,Exit,54,1,L1,305615.552,5809062.117,18.552,11.226,27.142,-23.795,-37.84518301,144.79076
3899,Exit,54,2,L1,305615.433,5809061.426,18.54,11.226,27.023,-24.486,-37.84518921,144.7907585
3899,Exit,54,3,L1,305613.502,5809057.052,18.45,7.708,25.092,-28.86,-37.84522819,144.7907354
3899,Exit,54,4,L1,305612.124,5809051.172,18.343,6.118,23.714,-34.74,-37.84528086,144.7907182
3899,Enter,55,1,LBL,305628.986,5809071.282,18.872,1.38,40.576,-14.63,-37.84510333,144.7909151
3899,Enter,55,2,LBL,305891.609,5809043.932,18.424,1.505,303.199,-41.98,-37.8454056,144.7938905
3899,Exit,56,1,LBL,305634.012,5809094.088,18.962,1.513,45.602,8.176,-37.844899,144.7909783
3899,Exit,56,2,LBL,305894.31,5809067.029,18.228,1.74,305.9,-18.883,-37.84519815,144.7939274
3899,Exit,57,1,L1,305633.694,5809091.591,19.035,3.519,45.284,5.679,-37.84492143,144.790974
3899,Exit,57,2,L1,305894.005,5809064.413,18.311,3.529,305.595,-21.499,-37.84522165,144.7939232
3899,Exit,58,1,L2,305633.231,5809087.95,19.146,3.81,44.821,2.038,-37.84495412,144.7909678
